ZCTA5,LANDSQMT,WATERSQMT,LANDSQMI,WATERSQMI,POPULATION,HSGUNITS,INTPTLAT,INTPTLON,Total Area in Sq Mi,Lat-top,Long-left,Lat-bottom,Long-right
14510,181085400,286760,69.92,0.11,"4,895","2,215",42.683010,-77.869009,70.03,42.743650,-77.913586,42.622370,-77.824432
14511,5980947,107583,2.31,0.04,497,230,42.999374,-77.891790,2.35,43.010484,-77.899916,42.988264,-77.883664
14512,266149879,174,102.76,0.00,"4,721","2,629",42.645241,-77.399770,102.76,42.718698,-77.453802,42.571784,-77.345738
14513,121481099,637568,46.90,0.25,"13,976","6,073",43.086309,-77.092116,47.15,43.136067,-77.128456,43.036551,-77.055776
14514,9703221,32188,3.75,0.01,"6,389","2,614",43.109961,-77.814930,3.76,43.124010,-77.825186,43.095912,-77.804674
14516,73363779,4654598,28.33,1.80,"2,365","1,119",43.201328,-76.919338,30.12,43.241099,-76.948329,43.161557,-76.890347
14517,88409304,0,34.14,0.00,"2,883","1,269",42.592427,-77.895852,34.14,42.634764,-77.927020,42.550090,-77.864684
14519,105646954,223366,40.79,0.09,"11,581","4,709",43.233972,-77.314631,40.88,43.280302,-77.348385,43.187642,-77.280877
14521,97891381,53353,37.80,0.02,"2,761","1,390",42.676642,-76.805003,37.82,42.721204,-76.837764,42.632080,-76.772242
14522,121240714,260019,46.81,0.10,"9,565","4,185",43.061906,-77.221976,46.91,43.111538,-77.258238,43.012274,-77.185714
14525,118117556,205007,45.61,0.08,"2,865","1,137",42.877514,-78.013330,45.68,42.926493,-78.049222,42.828535,-77.977438
14526,43333217,96664,16.73,0.04,"19,804","8,308",43.151464,-77.444396,16.77,43.181137,-77.466044,43.121791,-77.422748
14527,350773846,303380,135.43,0.12,"12,820","6,670",42.665508,-77.066309,135.55,42.749875,-77.128346,42.581141,-77.004272
14529,1010136,0,0.39,0.00,67,33,42.539977,-77.638100,0.39,42.544502,-77.641434,42.535452,-77.634766
14530,127684396,1046391,49.30,0.40,"5,575","2,833",42.739910,-77.998746,49.70,42.790997,-78.036267,42.688823,-77.961225
14532,105265502,891908,40.64,0.34,"4,431","1,869",42.964101,-77.032088,40.99,43.010493,-77.066037,42.917709,-76.998139
14533,83234847,19315,32.14,0.01,"2,000",795,42.838810,-77.888759,32.14,42.879894,-77.918885,42.797726,-77.858633
14534,83726227,730821,32.33,0.28,"31,426","12,390",43.056890,-77.521042,32.61,43.098270,-77.551277,43.015510,-77.490807
14536,47193482,425175,18.22,0.16,687,321,42.543975,-78.083671,18.39,42.575046,-78.106563,42.512904,-78.060779
